"AEOLUS"
"AMSR-E"
"ASCAT"
"CALIPSO"
"CHAMP"
"CryoSat"
"CryoSat-2"
"EARTHCARE"
"ENVISAT"
"ERS-1"
"ERS-2"
"GCOM-W1"
"GCOM-W2"
"GLONAS"
"GOCE"
"GOSAT"
"GPS"
"GRACE"
"GRACE-FO"
"ICESat"
"In-situ"
"Jason-1"
"Jason-2"
"Landsat"
"Landsat-8"
"MERIS"
"MeteoSat"
"Model"
"MODIS"
"OERSTED"
"OMI"
"SAC-C"
"SARAL/ALtiKa"
"SeaWiFS"
"Sentinel-1"
"Sentinel-2"
"Sentinel-3"
"Sentinel-5p"
"Sentinel-6"
"SMAP"
"SMOS"
"SWARM"
"TanDEM-X"
"TerraSAR-X"
"TOPEX/Poseidon"
"VIIRS"
"MSG-SEVIRI"
